PMID,Node1,Node1_Type,Relationship,Node2,Node2_Type,Description
30582756,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,Immunotherapies based on PD-1/PD-L1 pathway inhibitors in ovarian cancer treatment.
30582756,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,Immunotherapies based on anti-programmed death 1/programmed death ligand 1 (PD-1/PD-L1) pathway inhibitors may turn out effective in ovarian cancer (OC) treatment.
30803719,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,This finding may have therapeutic implications for OC patients treated with emerging immunotherapies.
31079799,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,Immunotherapy in Ovarian Cancer.
31315674,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,BACKGROUND: Cancer immunotherapies are emerging as promising treatment strategies for ovarian cancer patients that experience disease relapse following first line therapy.
31818495,Immunotherapy,topp,TREATS,Ovarian Carcinoma,neop,An autologous humanized patient-derived-xenograft platform to evaluate immunotherapy in ovarian cancer.
30049511,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,"The levels of TNF-alpha, interluekin-6 (IL-6), NF-kappaB p65, CXCL16, and CXCR6 expression in the ovarian carcinoma tissues were higher than those in the precancerous tissues."
31049770,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,The expression of miR-217 in ovarian cancerous tissues and cell lines were assessed by qRT-PCR.
31049770,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,MiR-217 was found to be downregulated in ovarian cancerous tissues and cell lines.
31064389,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,"RESULTS: We found that the percentages of gammadelta T cells and Vdelta1 T cells were significantly higher in OC tissues than BOT tissues and normal (N) ovarian tissues, while there were no obvious differences in peripheral blood."
31064389,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,"Meanwhile, higher numbers of gammadelta T cells and Vdelta1 T cells were observed in OC tissues, and were positively related to advanced clinicopathological features of OC patients."
31064389,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,Chemotaxis assay revealed that supernatants derived from OC tissues possessed a stronger capacity to attract and recruit gammadelta T cells.
31064389,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,"However, gammadelta T cells sorted from OC tissues showed weakened cytotoxic activity against ovarian cancer cells, and gammadelta T cells cocultured with OC tissue supernatants could effectively inhibit the proliferative activity of naive CD4+ T cells."
31208993,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,We use FusionPro to identify 18 fusion junction peptides and three potential fusion-derived peptides by MS/MS-based analysis of leukemia cell lines (Jurkat and K562) and ovarian cancer tissues from the Clinical Proteomic Tumor Analysis Consortium.
31533774,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,"RESULTS: HOTTIP, IL-6 and PD-L1 were all highly expressed in OC tissues."
31533774,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,A positive correlation was observed between IL-6 and PD-L1 and that between HOTTIP and IL-6 in OC tissues.
31753019,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,Detectable BTLA expression in ovarian cancerous tissues was associated with worse disease-free and overall survivals of EOC patients.
31837336,Body tissue,tisu,PART_OF,Ovarian Carcinoma,neop,MAIN METHODS: The CIBERSORT algorithm was used to investigate immune cell infiltration in ovarian cancer tissues.
30095655,CD80 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Does B7-H4 expression correlate with clinicopathologic characteristics and survival in ovarian cancer?:
30095655,CD80 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"However, the role of B7-H4 expression in ovarian cancer remains unclear, and some studies reporting conflicting results."
30095655,CD80 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,A systematic review of the literature and meta-analysis were conducted to assess the clinicopathologic characteristics and prognostic significance of B7-H4 in ovarian cancer.
30095655,CD80 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"CONCLUSION: B7-H4 expression was related to ovarian cancer, but not to patients' clinicopathologic characteristics."
30095655,CD80 gene,gngm,AUGMENTS,Ovarian Carcinoma,neop,BACKGROUND: Several studies have shown that B7-H4 expression is significantly increased in ovarian cancer.
30099907,Neoplasm,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,CONCLUSION: Based on our results we assume that the tumor and/or its microenvironment in ovarian cancer may produce factors that can depress the phagocytic function of monocytes and granulocytes.
31278254,Neoplasm,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,Tumor-driven immune suppression is a major barrier to successful immunotherapy in ovarian carcinomas (OvCa).
31492714,Neoplasm,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,Prognostic significance of PD-1 and PD-L1 positive tumor-infiltrating immune cells in ovarian carcinoma.
31492714,Neoplasm,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,CONCLUSION: Our results highlight the prognostic value of PD-1 and PD-L1 positive tumor-infiltrating immune cells in ovarian carcinoma.
31038546,Neoplasm,neop,AFFECTS,Ovarian Carcinoma,neop,The aim of this study was to evaluate the influence of artesunate on Th1 differentiation and its anti-tumor effect on ovarian cancer.
